cleaned_comment,label_manual
orang orang di perkotaan hanya bisa bersuara jaga hutanjaga hutan tpi tidak memperhatikan kesejahteraan masyarakat yg jauh tertinggal saat masyarakat bergerak ingin maju maka hutan adalah sasaran karena cuma itu cara mereka bs lakukan,0.0
ya bisa digunakan seperlunya aja jangan ugal2an,2.0
selama kemiskinan masih menyelimuti dan dirasakan rakyat pedalaman kalimantan hutan tidak akan mampu di pertahankan karena hal tsb adalah satu satunya cara mereka bisa hidup layak utk pemerintah tingkatkan kesejahteraan masyarakatnya jika ingin masyarakat bs menjaga hutan nya,2.0
segmen2 yg diberikan tuhan sbg proses n prosedur akn hancurnya bumi oleh penghuni bumitak bs dipungkiri jk sesuatu tu ada masawaktunya smw tp dtg nya masa tu bs lbh lama atau pun lbh cpt tergantung pd pemakai bumi tu sndrijk skrg mah diliat2 bumi udh dlm proses penghancuran totalsampah dimana2 bykcuaca jd extrem perubahannya srrtu suhu yg semakin panastak bs dipungkiri manusia nya yg pling berkontribusi tuk tu smwseberapa mw menyelamatkan humi tu tergantung pd mamusia yg diciptakan tuhan sbg penghuni yg dominan dlm mengontrol bumi,0.0
faktor nya ulah manusia2 serakah perusak alam ya itu,0.0
kafitalis,0.0
selama elite elite oligarki tetap ada dan tidak punya pemimpin yg pintar mengatur negeri ini yakinlahhhhh yakinlahhhh indonesia akan hancurrrr papua akan hancur kalimantan akan hancurrr bersiaplah rakyat kecil tersingkir oleh bencana alam dan lain2 akibat ulah elite oligarki yg bermain main dengan bumi dan tanah air negeri kita,0.0
suatu saat nanti kalimantan akan seperti jakarta jokowi,2.0
warga kalimantan nya pada tidur,0.0
masa sih pribumi cuma di janjikan dapat kerjaan rela hutannya di gundul,0.0
oligarki adalah jalan ninjaku mungkin kata pemerintah,0.0
jika para pelakunya baik itu dari mereka yang memberi izin dan yang mengeksekusi hutannya tak mendapat hukuman di dunia tunggulah nanti di akhirat karena merusak alam itu salah satu dosa yang besar,0.0
akibat pemimpin tdk paham dan tdk punya kuasa hanya didikte oleh partai oligarki dan kepentingannya sendiri rusak dan habislah hutan dan sumber daya alam kita,1.0
yg eksekusi prabowo dan gerindra yg disalahkan presiden nya,1.0
perusakan hutan entah namanya deforestasi adalah bentuk 39kejahatan39 karena imbas kerusakan setelahnya seperti bola salju bukan saja bagi manusia tapi bagi hewan dan lingkungan jugadi negeri konoha ini pelakunya jarang dibidik sementara yang merubah tanah gersang digantar indramayu menjadi hijau asri dan faunapun berkumpul kembali hari ini dibidik dengan pasal berlapissangat miris,0.0
pokoknya yang penting dapat cuan klau gagal urusan belakang kalau rakyat demo cukup kerahkan polisi nanti juga bubar,1.0
babad terus pak jokowi hutannyademi invetasi abaikan saja amdalbubar kan kementrian lingkungan hidup,0.0
tanyakan pada prabowo dan gerindra yg diberi tanggung jawab eksekusi proyek,1.0
presiden soeharto mertuanya prabowo dulu di tahun 90 an punya program sawah sejuta hektar di kalimantan kejadiannya sama hutan sdh dibabat dan lingkungan rusak dan sawahnya tidak bisa di tanami dan proyek sawah sejuta hektar gagal total kenapa begitu tanah di kalimantan itu adalah tanah gambut yang phnya sangat asam dan sulit dinetralkan sampai mendekati ph 7 bisa tapi mahal tidak ekonomis agar cocok untuk padi atau tanaman singkong kalau proyek itu gagaljokowi harus sadar tanah gambut itu cocoknya untuk tanaman keras tanaman hutan sekarang tinggal diperiksa saja uang proyeknya ada korupsi atau tidak,1.0
sedih ya,0.0
yg membuat kebijakan yg harus bertanggung jawab dan di tangkap utamanya presiden jokowi dodo,0.0
kayu borneo kayu ulin kayu jati item kayu gabus kayu dolken semuanya punah karena rakyat terus bertambah rakyat indonesia sudah banyak yang pusing puyeng dengan desakkan kebutuhan ekonomi tuntutan syahwat bela kepentingan syahwat akibatnya quot dibabat habis isi hutanalam jadi korban anak cucu tidak lagi nikmati tidak lagi punya kenangan esok lusa tunggu kemarahan alam kehancuran alam untuk di tumbalkan ditundukkan disembahkan kepada allah tuhan maha memelihara alammaha menundukkan alam allahu akbar tinggal mengutus angin badai akan meniupkan meluluhlantakkan,1.0
kebijakan terhadap tambang terkait revitalisasi dan pengijauaan kembali sering di idahkan kesannya mereka hanya mengeruk hasilnya lalu meninggalkannya hal ini terbukti banyak lahanquot bekas galian dibiarkan mengganga dan banyak lahannya tidak di hijaukan kembali dampaknya bisa di simpulkan sendiri,0.0
banjir januari 2021 di kalimantan selatan paling parah tapi kenapa tidak diliput yg diliput cuma kalteng amp kalbar saja padahal di kalsel dari 13 kabupatenkotamadya ada 10 kabupatenkotamadya terendam banjirbahkan tinggi air mencapai 3 meter di kabupaten hstbanyak rumahbangunan hancur diterjang banjir dan memakan beberapa korban jiwa jugasaya sebagai orang di kabupaten hst menyaksikan sendiri situasi banjir saat itu rasanya seperti kiamattapi yang anehnya beritaberita di tv nasional memberitakannya biasa² saja amp yg direkam cuma di daerah air yang surut sajaribuan warga terjebak diatas atap rumah siang malam kedinginan kehujanan amp kelaparan selama 2 harihari ke 3 pasca banjir tim emergency baru bisa memberikan bantuan itupun dengan usaha ekstra karna ketinggian air masih tinggi amp arus banjir masih deras,1.0
setuju hutan di babat untuk pembukaan lahan pertanian agar pangan indonesia terpenuhi jangan dengarkan omongan orang luar negeri,2.0
udah paling bener konsep federasi dimana setiap pulau mengurus daerahnya sendiri kebijakan pusat menghancurkan ekosistem daerah,1.0
nih chanel kok fitnah pak soehartomin asal kau tau klw gak ada pak soeharto negara ini sdh hancur jdi negara komunisgak tau diri,0.0
mau bagaimanapun semua butuh hutan dan kayu untuk furnitur kertas dan lain2 pro alam ga usah pakai produk dri hutan pemukimam pun trus d buka d mna2 ga bisa d hindari itu sya jga asli kalimantan bahkan ikn baru jga sdah babat brpa bnyak hutan,2.0
inilah buntut dari keserakahan manusia sangat mengerikan,0.0
pada intinya kapitalis ingin mengatur dan menguasai sda dunia di satu sisi para kapitalis butuh banyak sda di sisi lain mereka menggaungkan pentingnya lingkungan hidup mereka ingin sda murah para kapitalis menekan dg isu lingkungan hidup jika keinginannya terganggu dan tak terpenuhi padahal mereka juga yg sebetulnya merusak,0.0
gimana tidak banjir hutan setiap hari ditebang ber ponton ponton saban hari lewatt sungai bermuatan kayu diberau juga,0.0
1970 kayu 1990 sawit amp pertambangan perubahan hutan di kalimantan 312 proses deforestasi 429 tree cover loss in indonesia 642 dampak deforestasi dan emisi gas karbon 750 kebijakan moratarium bukan solusi 855,1.0
negri ini di rusak tidak di lestarikan dwminproyek mega besar dan hutan hutan di babat kayunya untuk bisnis mafia mafia dan oknum cukong dan aseng berduit uannygya masuk nya kemana hasil kayu pohon pohon yg di tebang,0.0
british bngt kwkwkw,1.0
hujan sebentar kita sudah kebanjiran apalagi kalau sudah jadi ibu kota,1.0
terima kasih pada para kapitalis dan guardiannya yaitu pemerintah atas keserakahannya mengeruk semua karta karun indonesia,0.0
ini tak akan berakhir jika masyarakat kalimantan tdk bersatu melawan kebijakan yg merugikan mereka sendirimasyarakat uni eropa saja sdh menolak produk kelapa sawit indonesia demi terjaganya hutan indonesia,1.0
sumatera udah gundul duluan hutan nyaditanam sawit semuapanas cuaca nya disini luar biasa,0.0
pertama² terimakasih untuk redaksi team narasi telah menyampaikan informasi ini saya orang kaliamantan sebenarnya tau dan faham akan dampak ini tetapi dia pernah berpikir akan separah ini sedih dan berharap supaya para pemimpin tidak hanya mata duitan dalam menagani kasus ini kita lihat 20232024 apakah masih di ijinkan membuka lahan baru lagi,1.0
menurut mimin apa yg harus kami lakukan sbgai org asli kalimantan selama oligarki daerah punya sircle yg baik dgn penguasa pusat smua yg mimin ucapkan hanyalh sebuah dongeng belaka kami butuh solusi yg menguntungkn semua pihak ga cma di ekspos aja tnpa tindkan semua pihak,1.0
tolong lah ikn dan perusahaan yg merusak kalimantan jangan di terima masyarakat sekitar tidak merasakan hasilnya juga amp malah muncul masalah baru yg sangat mengkhawatirkan kalimantan sekitar,1.0
jakarta aja hutannya dipindahin,1.0
paru paru dunia hancur,0.0
yg dikeruk alamnya kalimantan yg kaya orang jakarta,0.0
orang2 sampah yg cuma mikirin duitduitduit,0.0
itulah kerakusan pemerintahan indonesiayg mengakibat kan kehancuran bagi kehidupan,0.0
kalau kamu terbang dari kaltim ke kalsel atau dari kaltim ke kaltara pakai pesawat baling2 yg terbangnya relatif rendah atau naik mobil lintas kaltim kalsel akan nampak pemandangan petak2 sawit yang begitu luas tiada habisnya,1.0
indonesia ga ada abisnya yg kecot2,1.0
kenapa hanya kalbar kalteng kalsel juga 13 kabupaten bos terendam banjir,0.0
ri negara terkorup nomer 8 di dunia ini ya gini pejabatnya,1.0
makin panas nya cuaca yg ada dikota2 di indonesia apakah pengaruh dari ada nya deforestasi hutan yg ad dikalimantan kalau memang bener kacau yg pemegang regulasi,0.0
saya penduduk asli kalbardeforestasi di hutan kalimantan barat berdampak langsung terhadap iklim sangat benar adanya amp dampak yang sudah terjadi antara lain banjir iklim tak menentu suhu terasa jauh lebih panas dan yang sangat disayangkan sudah banyak hutan adat yang sudah dialih fungsi kan menjadi lahan sawit yang menurut saya hutan adat ini adalah pertahan terakhir hutan kalimantan,0.0
sdh saatnya kalian bersatu untuk menolak defortasi hutan krn itu akan merugikan kalian sendiri,0.0
yaaaaa betul siii tp kembali lagi yah kalau tidak ada sawit dan batubara kita2 semua mandi pakai sabun dan shampoo apa sikat gigi pakai apa kue cemilan pakai apa nge charge hp pakai apa malam panas pakai ac listriknya drmna kalau benci thdp kenyataan tsb jangan mandi jangan pakai hp jangan makan processed foodbisa ada harga yg hrs dibayargreen energy dooongg yakin bbm naik 500 perak 1000 perak aja demo setengah matigreen energy bisa bayar 2x lipatnya yah mau gmana lgini lah kenyataan ini lah pola hidup kita selama inikita konsumen pun jg kontribusi thdp deforestasi inicheers,1.0
kalau saya sih setuju hutan kalimantan gndul karena kita produksi oksigen tapi negara lain tidak pada bayar sisakan aja untuk oksigen kita sendiri flora dan fauna secukupnya,1.0
selama salah satu mata pencarian utama warga kalimantan adalah kerja pada perusahaan tambang susah juga,1.0
kalimantan selatan juga sama hujan 1 hari juga bisa langsung banjir,0.0
sebagai org asli kalimantan tengah sudah bukan rahasia umum lagi klo hutan kalimantan sudah banyak yang di tebang mulai dari tambang ilegal dan legal perkebunan sawit perusahaan kayu punya peran sangat besar terhadap habisnya hutan kalimantan jika tidak ada ketegasan dari pemerintah dalam perawatan hutan kalimantan bukan tidak mungkin kalimantan akan lebih banyak lagi bencana yang melanda,0.0
emang di jakarta ada hutan meggurui pulau lain pulau jawa penuh manusia gada tuh yang sadar sampe mau tenggeleam juga,0.0
epic content,2.0
apakah hanya warga kalimantan yg harus bertanggung jawab menopang oksigen seluruh dunia kebun sawit dan tambang2 itu sdh mengantar putra putri kalimantan untuk bs berkuliah sampai ke pulau2 jawa bahkan keluar negeri yg punya konsen dgn emisi karbon dll bs lakukan tindakan ini jg tanam pohon banyak2 d lingkungan sendiri kurangi penggunaan listrik atau kurangi wara wiri dgn kendaraan pribadi kurangi naik pesawat krn itu penyumbang emisi tinggi kurangi makan daging2 hasil peternakan dll,0.0
kan memanfaatkan lahan yang tidak produktif hutan lindung itu tidak produktif semua demi cuan makanya saya bilang kl pasar modal rontok habis bumi akan ada waktu utk perbaikan terbukti saat corona 2020 kemarin cuma kemudian corona ajang cuan lagi kl pasar modal tidak rontok maka mereka tetap akan ada duitnya dan akan terus ekspansi salah satunya deforestasi bullshit lah ama regulasi ayo dukung deforestasi biar cuan,0.0
siapapun presidennya sama ajah pengeruk tukang keruk sda cuman lebih parah jokowi daripada suharto,0.0
program food security gagal totalpaling ujungnya dijadiin lahan sawit,0.0
apakah mereka orang istana tidak membaca komentar kami sebagai anak kalimantan,1.0
ini lagi mau mindahin ibu kota ke kalimantan bikin tambah rusak hutan disana,0.0
kalimantam sumatera bahkah papua saat ini gak bisa hidup jika tidak membuka lahan perkebunan di hutan manusia semakin banyak kalau gak bertani membuka hutan gimana mau memenuhi kebutuhan hidup pohon tinggi daun rindang udara segar tidak bisa di jadikan pembeli beras bayar spp sekolah anak jajan anak kalau orang luar negeri merasa indonesia paru2 dunia dan minta agar jangan merambah hutan harusnya orang2 itu bayar jika ingin menjadikan indonesia paru2 dunia biayai hidup orang2 di kalimantan sumatera papua saya yakin jika ada timbal balik orang juga malas bertani berkebun mereka siap untuk tidak buka lahan pertanian sawit jika kebutuhan hidup terpenuhi,0.0
kalau dibiarkan ya habis masyarkat bergerak donk klu ngarepin pemimpin2 dan wakil rakyatnya ya ga bakalan mereka pikirannya cuman uang,1.0
semoga tidak ditambah lagi kerusakan hutan kalimantan,1.0
anggaplah semua itu telah terjadi quot hutan hancurrakyat kena imbas bencanaquot lalu hasil dari hutan itu ntah kemana dulu saya pernah berkuliah di fakultas kehutanan 2009 quotdeforestasiquot adalah salah satu mata kuliah tersendiri tidak lagi tergabung dlm ilmu kehutanan ini membuktikan bahwa hutan indonesia telah benarbenar hancur,1.0
apa kabarnya daerah kendawangan ketapang kalimantan barat tempat tambang bauksit biji besi tembang emas sawit bagaimana insfrastruktur disana hahaha jauh panggang dari api,0.0
emang ada benernya banyaknya populasi manusia bikin dunia dan alam rusak perlu adanya depopulasi manusia ini sih,1.0
hutan dijaga hijau emank dunia kasih kompensasi yang setara dengan industrialisasiapbn pake uang bukan oksigen,1.0
buat organisasi yang merangkul aktivis lingkungan sebagai penyeimbang,2.0
narasi telat nih coba aja klo waktu 2010an ngeriset soal asal muasal kebakaran hutan pasti lebih keliatan bagaiamana hjtan dibabat habis,0.0
raja kalsel h isam raja kalteng h arsyadratu kaltim tan paulin,0.0
namanya juga tukang kayu ya kerjaannya cuma ngerusak,0.0
jakarta yang sekarang adalah gambaran kalimantan puluhan tahun kedepan siap2 kumuh wkwk,0.0
bisnis bahan2nyaa dari perusahaan yg dimiliki para pejabat negara tambang luhut misalkan,0.0
dann dikemudian hari kalimantan akhirnya akan menjadi seperti wilayah sumatera hutan akan habis berganti menjadi perkebunan kelapa sawit ketika musim hujan selalu banjir ketika musim kemarau kebakaran dimana²,0.0
hanya demi embelquot pemerataan pembangunankalimantan jd korban yg berdampak ke perubahan iklim bumiquotkumaha maneh we lah jokowiquot,0.0
ya gimana nti gak dibangun pemerataan orang2 luar pulau jawa ngamok dibilangnya jawa sentris pas dibangun nti dibilangnya ngerusak alam dan lingkunganpertanyaanya rakyat itu maunya apa kalo kek gini aja serba salah,0.0
lama2 bisa jd gurun,1.0
semoga pemerintahlembaga terkait lebih memperhatikan keberlangsungan hutan,2.0
klo memang paru2 duniaapa kontribusi dunia untuk merawatnya nihil mending dlibangguntoh yg kena dampak pasti eropa yg jauh dr katulistiwa,1.0
si agil mana ya yg katanya ulama besar tp menjadi kecil di depan perusak hutan,1.0
momentum untuk revolusi,2.0
tegakkan hukum adat kalimantan kalau punya karena dulu masih terjaganya hutan hanya dilakukan oleh masyarakat yang terikat adat setempat non adat yg tidak tinggal disana tidak akan menerima dampak langsung thd kerusakan lingkungan dengan alasan negara kesatuan maka orang luar merasa berhak juga atas hutan di wilayah adat karena itu bagian nkri,2.0
sekarang hukum adat bisa dibeli dngan uang,0.0
kukira dataran hutan ternyata lahan bisnis miris,0.0
berita penting seperti ini sayang hanya sedikit yg menonton mirisss,0.0
inilah oligarki jokowii sesungguh nya,0.0
dan fakta parahnya adalah banyak anak lulusan sekolah baru selain ingin menjadi polisi tentara atau pns semacamnyabanyak dari mereka ingin bekerja di pertambangandengan alasan gajinya besargua bisa ngomong gini karena gua orang kalimantan selatan hulu sungai tengah barabai kalo kalian mau tau gua ngambil data dari anak sekolah angkatan gua lulusan 20162017 sampai 20192020,0.0
batubara buat apa buat pembangkit tenaga listrik pltu masih menjadi pl dominan karena plt terbarukan blm cukup untuk memenuhi keb listrik semakin besar kebutuhan listrik semakin bnyak kita menebang hutan ditambah industri ev sedang digembor2 energi listrik bukan berarti ramah lingkungan kecuali plt terbarukan sudah menjadi kewajiban plta negara air pasti punya air melimpah plta angin indonesia jg disabut negara angin puluhan ribu km garis pantai plt panas bumi negara diapit 2 cincin api dan pltm negara yg setiap hari disinari cahaya matahari kenapa masih pake batubara,0.0
kelakuan jokowi,0.0
sebenarny bisa kita pertahankan tetapi yg hirup oksigen kalimantan bayar jamin itu hutan balik lg,1.0
seblm ada gaung ikn org2 besar kalimantan kolega2 gub dll dh bnyk yg jd pengusaha tambang yg bikin bnjir dan longsor hidup mrk kaya dg rmh2 mewah hasil tambang yg sebagian bnyk illegal,1.0
percuma jika hanya wacana jika perusahaan itu tetap jalan,0.0
nafsu manusia,0.0
pulau klimantan pulau terbesar bgi nkri sangat wajar mnganak emaskn pulau kalimantan sngt cocok bikin ibu kota,2.0
katanya presiden aman mau buat ikn di sana karena gak banjir yg saya tau kalimantan termasuk bagian paru2 dunia hutannya eh malah di tebangin buat lahan kelapa sawit dan juga bangunan ikn yg mengorbankan byk hutan,0.0
mungkin sekarang paru2 nya bunyinya gukgukgukguksama dgn si koruptor nya,0.0
pulau paling hijau skrng kebanjiran sungguh miris,0.0
makasi pak joko2 periode negri ini makin rusak,1.0
pengen tau gimana rasanya kembali ke periode zaman soekarno sampai sby,1.0
hutan dirusak giliran kena musibah tuhan yang disalahkandengan kata kata cobaan apalagi tuhan dan open donasian,0.0
narasi you are legend,2.0
alhamdulillah sudah banjir,0.0
